5.1  Commodity balances ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,GWh,,,,,,,,
,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,
Total electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production,"361,078","365,250","374,374","382,356","384,594","395,475","391,280","395,430","393,429","392,971","384,829","373,069","378,918","365,077","360,907","355,379","335,213","336,136","336,232r","335,300r","330,394",,,,,,,,
Other sources (1),"1,624","2,902","2,694","2,422","2,652","2,734","2,649","2,930","3,853","3,859","4,089","3,685","3,150","2,906","2,967","2,904","2,883","2,739","2,959","2,872","2,498",,,,,,,,
Imports,"12,599","14,507","14,308","10,663","9,183","5,119","9,784","11,160","10,282","8,613","12,294","6,609","7,144","8,689","13,774","17,533","23,243","22,961","20,018","18,167","21,332",,,,,,,,
Exports,-131,-263,-134,-264,-768,"-2,959","-2,294","-2,839","-2,765","-3,398","-1,272","-3,748","-4,481","-2,467","-1,910","-3,102","-2,723","-1,855","-2,273","-3,407","-2,225",,,,,,,,
Marine bunkers,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Stock change,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Transfers,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Total supply,"375,170","382,396","391,243","395,177","395,661","400,369","401,418","406,681","404,799","402,045","399,940","379,615","384,732","374,204","375,738","372,714","358,616","359,981","356,936r","352,932r","352,000",,,,,,,,
Statistical difference (2),"1,861","1,564","1,497","1,167",983,"2,208","2,447",227,104,-392,275,139,-150,-150,-622,"-1,116","-1,066","1,310r",267r,290r,-64,,,,,,,,
Total demand,"373,309","380,832","389,746","394,010","394,678","398,162","398,971","406,454","404,695","402,437","399,665","379,476","384,882","374,354","376,360","373,831","359,682","358,671r","356,669r","352,642r","352,064",,,,,,,,
Transformation,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Energy industry use,"29,674","29,790","30,680","30,387","31,297","32,081","29,296","30,105","32,055","32,558","29,991","29,685","29,008","28,341","29,172","29,893","28,382","27,894","26,547r","26,475r","25,756",,,,,,,,
Electricity generation,"17,408","16,707","16,304","17,394","17,126","18,136","17,032","17,873","18,503","17,694","16,342","16,571","16,122","16,451","17,983","17,850","16,479","16,652","15,269r","15,472r","15,426",,,,,,,,
Oil and gas extraction,537,408,527,675,541,551,558,505,546,560,598,594,563,576,565,570,536,606,557r,584r,632,,,,,,,,
Petroleum refineries,"5,136","4,981","6,362","5,231","6,553","5,769","4,681","4,459","4,660","5,634","4,351","4,519","5,034","4,684","3,793","4,681","4,873","4,532","4,401r","4,334r","4,179",,,,,,,,
Coal extraction and coke manufacture,"1,334","1,358","1,283","1,223","1,163","1,190","1,119","1,165","1,133","1,073","1,058","1,018","1,040",929,902,873,741,549,465r,451r,418,,,,,,,,
Blast furnaces,948,948,877,885,502,492,468,515,497,479,452,464,297,253,369,438,440,344,209,186r,178,,,,,,,,
Patent fuel manufacture,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Pumped storage,"2,594","3,774","3,499","3,210","3,463","3,546","3,497","3,707","4,918","5,071","5,371","4,843","4,212","3,843","3,978","3,930","3,884","3,711","4,014","3,859","3,391",,,,,,,,
Other,"1,717","1,614","1,828","1,769","1,950","2,398","1,942","1,881","1,798","2,047","1,818","1,676","1,740","1,603","1,581","1,551","1,429","1,500","1,632r","1,589r","1,532",,,,,,,,
Losses,"27,957","28,298","29,649","30,902","29,980","29,862","30,728","27,674","27,410","28,223","27,852","28,043","27,037","28,140","28,917","27,667","28,514","27,297","26,088r","26,518r","26,663",,,,,,,,
