GHO (CODE),GHO (DISPLAY),GHO (URL),GBDCHILDCAUSES (CODE),GBDCHILDCAUSES (DISPLAY),GBDCHILDCAUSES (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,,,,#status+code,#status+name,,,#date+year,,#region+code,#date+year+start,#date+year+end,#region+name,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,#indicator+value+num,,,,,
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/157,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,,,,GHE060,Noncommunicable diseases,,,,,"23,849",23849.21094,,,,,
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/157,,,,PUBLISHED,Published,,2012,2012,,AMR,2012,2012,Americas,,NIC,Nicaragua,,,,,,,,GHE151,Injuries,,,,,"3,649",3648.96411,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE001,Communicable & other Group I,,,,,110.8,110.84811,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE004,STDs excluding HIV,,,,,1.7,1.71858,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE023,Trypanosomiasis,,,,,0.0,0.00000,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE026,Leishmaniasis,,,,,0.5,0.50885,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE050,Preterm birth complications,,,,,14.1,14.10126,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE051,Birth asphyxia and birth trauma,,,,,6.4,6.36497,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE053,Other neonatal conditions,,,,,0.9,0.89411,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE071,Cervix uteri cancer,,,,,10.3,10.29215,,,,,
WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000,2000,,AMR,2000,2000,Americas,,NIC,Nicaragua,,,,,BTSX,Both sexes,,GHE072,Corpus uteri cancer,,,,,0.4,0.43265,,,,,
